"response_id","experience"
"GEN24_1000426","None of these"
"GEN24_1000430","None of these"
"GEN24_1000442","None of these"
"GEN24_1000446","None of these"
"GEN24_1000447","None of these"
"GEN24_1000456","None of these"
"GEN24_1000460","None of these"
"GEN24_1000468","None of these"
"GEN24_1000472","None of these"
"GEN24_1000474","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000476","None of these"
"GEN24_1000481","None of these"
"GEN24_1000484","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000484","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000485","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000485","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000485","Watch a live Maori performance"
"GEN24_1000488","None of these"
"GEN24_1000497","None of these"
"GEN24_1000498","See Maori art or crafts being created"
"GEN24_1000498","Some other Maori cultural activity"
"GEN24_1000502","None of these"
"GEN24_1000508","None of these"
"GEN24_1000510","None of these"
"GEN24_1000511","None of these"
"GEN24_1000512","None of these"
"GEN24_1000518","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000518","Some other Maori cultural activity"
"GEN24_1000518","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000521","None of these"
"GEN24_1000522","None of these"
"GEN24_1000523","None of these"
"GEN24_1000524","None of these"
"GEN24_1000528","None of these"
"GEN24_1000530","None of these"
"GEN24_1000534","None of these"
"GEN24_1000535","None of these"
"GEN24_1000536","Some other Maori cultural activity"
"GEN24_1000536","Watch a live Maori performance"
"GEN24_1000538","None of these"
"GEN24_1000539","None of these"
"GEN24_1000540","None of these"
"GEN24_1000542","None of these"
"GEN24_1000543","None of these"
"GEN24_1000558","None of these"
"GEN24_1000566","None of these"
"GEN24_1000571","None of these"
"GEN24_1000574","None of these"
"GEN24_1000576","None of these"
"GEN24_1000581","None of these"
"GEN24_1000582","None of these"
"GEN24_1000589","None of these"
"GEN24_1000590","None of these"
"GEN24_1000609","None of these"
"GEN24_1000611","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000612","None of these"
"GEN24_1000615","None of these"
"GEN24_1000616","None of these"
"GEN24_1000621","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000621","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000622","None of these"
"GEN24_1000624","None of these"
"GEN24_1000625","None of these"
"GEN24_1000626","None of these"
"GEN24_1000632","None of these"
"GEN24_1000633","None of these"
"GEN24_1000637","None of these"
"GEN24_1000643","None of these"
"GEN24_1000649","None of these"
"GEN24_1000650","None of these"
"GEN24_1000653","None of these"
"GEN24_1000655","None of these"
"GEN24_1000660","None of these"
"GEN24_1000662","None of these"
"GEN24_1000663","None of these"
"GEN24_1000664","None of these"
"GEN24_1000669","None of these"
"GEN24_1000671","None of these"
"GEN24_1000674","None of these"
"GEN24_1000676","None of these"
"GEN24_1000677","None of these"
"GEN24_1000691","None of these"
"GEN24_1000693","None of these"
"GEN24_1000697","Visit a Maori family in their home"
"GEN24_1000700","None of these"
"GEN24_1000706","Eat Maori traditional food"
"GEN24_1000706","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000706","Watch a live Maori performance"
"GEN24_1000708","None of these"
"GEN24_1000711","None of these"
"GEN24_1000713","None of these"
"GEN24_1000718","None of these"
"GEN24_1000719","None of these"
"GEN24_1000720","None of these"
"GEN24_1000729","None of these"
"GEN24_1000731","None of these"
"GEN24_1000736","None of these"
"GEN24_1000739","None of these"
"GEN24_1000746","None of these"
"GEN24_1000748","None of these"
"GEN24_1000760","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000766","None of these"
"GEN24_1000778","None of these"
"GEN24_1000781","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000781","Some other Maori cultural activity"
"GEN24_1000781","Visit a Maori family in their home"
"GEN24_1000783","Visit a Maori family in their home"
"GEN24_1000788","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000788","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000789","None of these"
"GEN24_1000790","None of these"
"GEN24_1000791","None of these"
"GEN24_1000792","None of these"
"GEN24_1000793","None of these"
"GEN24_1000797","None of these"
"GEN24_1000804","None of these"
"GEN24_1000807","None of these"
"GEN24_1000821","None of these"
"GEN24_1000823","Eat Maori traditional food"
"GEN24_1000824","None of these"
"GEN24_1000826","None of these"
"GEN24_1000828","None of these"
"GEN24_1000829","None of these"
"GEN24_1000837","None of these"
"GEN24_1000844","None of these"
"GEN24_1000852","None of these"
"GEN24_1000853","None of these"
"GEN24_1000857","None of these"
"GEN24_1000864","Eat Maori traditional food"
"GEN24_1000864","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000864","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000864","Watch a live Maori performance"
"GEN24_1000865","Eat Maori traditional food"
"GEN24_1000865","See Maori art or crafts being created"
"GEN24_1000865","Some other Maori cultural activity"
"GEN24_1000865","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000868","None of these"
"GEN24_1000869","None of these"
"GEN24_1000870","None of these"
"GEN24_1000871","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000873","Eat Maori traditional food"
"GEN24_1000873","See Maori art or crafts being created"
"GEN24_1000873","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1000873","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000873","Watch a live Maori performance"
"GEN24_1000877","None of these"
"GEN24_1000879","None of these"
"GEN24_1000884","Watch a live Maori performance"
"GEN24_1000890","None of these"
"GEN24_1000900","None of these"
"GEN24_1000902","None of these"
"GEN24_1000904","None of these"
"GEN24_1000907","None of these"
"GEN24_1000916","None of these"
"GEN24_1000918","None of these"
"GEN24_1000927","None of these"
"GEN24_1000928","None of these"
"GEN24_1000937","None of these"
"GEN24_1000945","None of these"
"GEN24_1000948","None of these"
"GEN24_1000950","None of these"
"GEN24_1000963","None of these"
"GEN24_1000964","None of these"
"GEN24_1000969","None of these"
"GEN24_1000970","None of these"
"GEN24_1000977","None of these"
"GEN24_1000980","Some other Maori cultural activity"
"GEN24_1000980","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000982","None of these"
"GEN24_1000984","None of these"
"GEN24_1000986","None of these"
"GEN24_1000989","None of these"
"GEN24_1000991","None of these"
"GEN24_1000992","Eat Maori traditional food"
"GEN24_1000992","Visit a Maori marae (a Maori meeting place)"
"GEN24_1000992","Watch a live Maori performance"
"GEN24_1000998","None of these"
"GEN24_1001001","None of these"
"GEN24_1001003","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001004","None of these"
"GEN24_1001011","None of these"
"GEN24_1001018","None of these"
"GEN24_1001020","None of these"
"GEN24_1001021","Some other Maori cultural activity"
"GEN24_1001023","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001027","None of these"
"GEN24_1001038","Visit a Maori family in their home"
"GEN24_1001043","Eat Maori traditional food"
"GEN24_1001043","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001043","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001047","See Maori art or crafts being created"
"GEN24_1001047","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001056","None of these"
"GEN24_1001059","None of these"
"GEN24_1001060","None of these"
"GEN24_1001061","None of these"
"GEN24_1001065","None of these"
"GEN24_1001068","None of these"
"GEN24_1001069","None of these"
"GEN24_1001074","None of these"
"GEN24_1001077","None of these"
"GEN24_1001083","None of these"
"GEN24_1001088","None of these"
"GEN24_1001089","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001089","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001090","None of these"
"GEN24_1001094","None of these"
"GEN24_1001100","Watch a live Maori performance"
"GEN24_1001106","None of these"
"GEN24_1001111","Visit a Maori family in their home"
"GEN24_1001112","None of these"
"GEN24_1001113","Eat Maori traditional food"
"GEN24_1001113","See Maori art or crafts being created"
"GEN24_1001113","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001113","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001113","Watch a live Maori performance"
"GEN24_1001116","None of these"
"GEN24_1001119","None of these"
"GEN24_1001120","None of these"
"GEN24_1001125","None of these"
"GEN24_1001130","None of these"
"GEN24_1001135","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001139","None of these"
"GEN24_1001148","None of these"
"GEN24_1001151","None of these"
"GEN24_1001158","None of these"
"GEN24_1001160","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001161","None of these"
"GEN24_1001164","None of these"
"GEN24_1001168","None of these"
"GEN24_1001169","Eat Maori traditional food"
"GEN24_1001169","Some other Maori cultural activity"
"GEN24_1001169","Watch a live Maori performance"
"GEN24_1001170","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001176","None of these"
"GEN24_1001178","None of these"
"GEN24_1001182","None of these"
"GEN24_1001183","See Maori art or crafts being created"
"GEN24_1001183","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001183","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001187","Eat Maori traditional food"
"GEN24_1001187","Some other Maori cultural activity"
"GEN24_1001187","Visit a Maori family in their home"
"GEN24_1001187","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001188","None of these"
"GEN24_1001191","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001191","Watch a live Maori performance"
"GEN24_1001192","None of these"
"GEN24_1001193","None of these"
"GEN24_1001201","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001209","None of these"
"GEN24_1001221","None of these"
"GEN24_1001223","None of these"
"GEN24_1001226","None of these"
"GEN24_1001228","None of these"
"GEN24_1001230","None of these"
"GEN24_1001234","None of these"
"GEN24_1001235","None of these"
"GEN24_1001237","None of these"
"GEN24_1001242","None of these"
"GEN24_1001245","None of these"
"GEN24_1001248","None of these"
"GEN24_1001253","None of these"
"GEN24_1001256","None of these"
"GEN24_1001257","None of these"
"GEN24_1001258","None of these"
"GEN24_1001262","None of these"
"GEN24_1001263","None of these"
"GEN24_1001267","None of these"
"GEN24_1001272","None of these"
"GEN24_1001277","None of these"
"GEN24_1001281","None of these"
"GEN24_1001282","None of these"
"GEN24_1001297","None of these"
"GEN24_1001313","Eat Maori traditional food"
"GEN24_1001313","See Maori art or crafts being created"
"GEN24_1001313","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001313","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001313","Watch a live Maori performance"
"GEN24_1001315","None of these"
"GEN24_1001316","None of these"
"GEN24_1001317","None of these"
"GEN24_1001325","None of these"
"GEN24_1001332","None of these"
"GEN24_1001336","None of these"
"GEN24_1001338","None of these"
"GEN24_1001350","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001355","None of these"
"GEN24_1001362","None of these"
"GEN24_1001367","None of these"
"GEN24_1001370","Eat Maori traditional food"
"GEN24_1001370","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001370","Some other Maori cultural activity"
"GEN24_1001370","Visit a Maori family in their home"
"GEN24_1001370","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001370","Watch a live Maori performance"
"GEN24_1001385","None of these"
"GEN24_1001386","See Maori art or crafts being created"
"GEN24_1001386","Some other Maori cultural activity"
"GEN24_1001388","None of these"
"GEN24_1001403","None of these"
"GEN24_1001406","None of these"
"GEN24_1001407","None of these"
"GEN24_1001411","None of these"
"GEN24_1001412","None of these"
"GEN24_1001417","None of these"
"GEN24_1001423","None of these"
"GEN24_1001428","None of these"
"GEN24_1001429","None of these"
"GEN24_1001431","None of these"
"GEN24_1001432","None of these"
"GEN24_1001434","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001440","None of these"
"GEN24_1001446","None of these"
"GEN24_1001447","None of these"
"GEN24_1001450","None of these"
"GEN24_1001458","None of these"
"GEN24_1001461","None of these"
"GEN24_1001465","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001478","None of these"
"GEN24_1001481","None of these"
"GEN24_1001485","None of these"
"GEN24_1001488","None of these"
"GEN24_1001493","None of these"
"GEN24_1001507","None of these"
"GEN24_1001511","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001514","See Maori art or crafts being created"
"GEN24_1001515","None of these"
"GEN24_1001519","None of these"
"GEN24_1001520","None of these"
"GEN24_1001524","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001526","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001527","Some other Maori cultural activity"
"GEN24_1001527","Visit a Maori family in their home"
"GEN24_1001527","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001534","None of these"
"GEN24_1001540","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001542","None of these"
"GEN24_1001543","None of these"
"GEN24_1001547","Eat Maori traditional food"
"GEN24_1001548","None of these"
"GEN24_1001552","Eat Maori traditional food"
"GEN24_1001552","Some other Maori cultural activity"
"GEN24_1001552","Visit a Maori family in their home"
"GEN24_1001557","None of these"
"GEN24_1001558","None of these"
"GEN24_1001560","None of these"
"GEN24_1001562","None of these"
"GEN24_1001566","None of these"
"GEN24_1001569","None of these"
"GEN24_1001571","None of these"
"GEN24_1001572","None of these"
"GEN24_1001579","None of these"
"GEN24_1001587","None of these"
"GEN24_1001592","None of these"
"GEN24_1001595","None of these"
"GEN24_1001600","None of these"
"GEN24_1001610","None of these"
"GEN24_1001613","None of these"
"GEN24_1001615","None of these"
"GEN24_1001622","None of these"
"GEN24_1001623","Visit a Maori family in their home"
"GEN24_1001624","None of these"
"GEN24_1001637","None of these"
"GEN24_1001641","None of these"
"GEN24_1001646","None of these"
"GEN24_1001651","Eat Maori traditional food"
"GEN24_1001651","Visit a Maori family in their home"
"GEN24_1001651","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001659","None of these"
"GEN24_1001666","None of these"
"GEN24_1001667","Eat Maori traditional food"
"GEN24_1001667","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001669","None of these"
"GEN24_1001670","None of these"
"GEN24_1001671","None of these"
"GEN24_1001675","None of these"
"GEN24_1001681","None of these"
"GEN24_1001683","None of these"
"GEN24_1001688","None of these"
"GEN24_1001693","None of these"
"GEN24_1001696","See Maori art or crafts being created"
"GEN24_1001696","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001696","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001697","None of these"
"GEN24_1001700","None of these"
"GEN24_1001701","None of these"
"GEN24_1001702","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001705","None of these"
"GEN24_1001711","None of these"
"GEN24_1001717","None of these"
"GEN24_1001718","None of these"
"GEN24_1001727","None of these"
"GEN24_1001728","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001733","None of these"
"GEN24_1001738","None of these"
"GEN24_1001740","None of these"
"GEN24_1001742","None of these"
"GEN24_1001746","None of these"
"GEN24_1001747","None of these"
"GEN24_1001749","Some other Maori cultural activity"
"GEN24_1001755","None of these"
"GEN24_1001757","None of these"
"GEN24_1001758","None of these"
"GEN24_1001762","None of these"
"GEN24_1001763","None of these"
"GEN24_1001764","None of these"
"GEN24_1001765","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001766","Eat Maori traditional food"
"GEN24_1001766","Visit a Maori family in their home"
"GEN24_1001771","None of these"
"GEN24_1001773","None of these"
"GEN24_1001775","None of these"
"GEN24_1001779","None of these"
"GEN24_1001782","None of these"
"GEN24_1001785","None of these"
"GEN24_1001790","None of these"
"GEN24_1001791","None of these"
"GEN24_1001793","Visit a Maori family in their home"
"GEN24_1001794","None of these"
"GEN24_1001796","None of these"
"GEN24_1001797","None of these"
"GEN24_1001798","None of these"
"GEN24_1001803","None of these"
"GEN24_1001805","None of these"
"GEN24_1001806","None of these"
"GEN24_1001809","See Maori art or crafts being created"
"GEN24_1001809","Visit a Maori family in their home"
"GEN24_1001810","None of these"
"GEN24_1001811","None of these"
"GEN24_1001813","None of these"
"GEN24_1001818","None of these"
"GEN24_1001819","None of these"
"GEN24_1001822","None of these"
"GEN24_1001826","None of these"
"GEN24_1001835","Eat Maori traditional food"
"GEN24_1001841","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001843","None of these"
"GEN24_1001844","None of these"
"GEN24_1001848","None of these"
"GEN24_1001851","See Maori art or crafts being created"
"GEN24_1001851","Some other Maori cultural activity"
"GEN24_1001851","Visit a Maori family in their home"
"GEN24_1001851","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001852","None of these"
"GEN24_1001853","None of these"
"GEN24_1001854","None of these"
"GEN24_1001855","None of these"
"GEN24_1001856","None of these"
"GEN24_1001857","None of these"
"GEN24_1001862","See Maori art or crafts being created"
"GEN24_1001862","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001862","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001864","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001865","None of these"
"GEN24_1001866","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001872","None of these"
"GEN24_1001881","None of these"
"GEN24_1001884","None of these"
"GEN24_1001885","None of these"
"GEN24_1001887","None of these"
"GEN24_1001889","None of these"
"GEN24_1001893","None of these"
"GEN24_1001901","None of these"
"GEN24_1001904","None of these"
"GEN24_1001906","None of these"
"GEN24_1001908","None of these"
"GEN24_1001915","None of these"
"GEN24_1001917","Some other Maori cultural activity"
"GEN24_1001918","None of these"
"GEN24_1001921","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001924","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001924","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001930","None of these"
"GEN24_1001932","None of these"
"GEN24_1001933","None of these"
"GEN24_1001934","Visit a Maori marae (a Maori meeting place)"
"GEN24_1001935","None of these"
"GEN24_1001936","None of these"
"GEN24_1001940","None of these"
"GEN24_1001943","Some other Maori cultural activity"
"GEN24_1001944","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1001945","None of these"
"GEN24_1001948","None of these"
"GEN24_1001951","None of these"
"GEN24_1001955","None of these"
"GEN24_1001961","None of these"
"GEN24_1001963","None of these"
"GEN24_1001971","None of these"
"GEN24_1001972","None of these"
"GEN24_1001975","None of these"
"GEN24_1001976","None of these"
"GEN24_1001984","None of these"
"GEN24_1001985","None of these"
"GEN24_1001986","None of these"
"GEN24_1001987","None of these"
"GEN24_1001988","None of these"
"GEN24_1001992","None of these"
"GEN24_1001993","None of these"
"GEN24_1001998","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002000","Some other Maori cultural activity"
"GEN24_1002000","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002003","None of these"
"GEN24_1002005","None of these"
"GEN24_1002007","None of these"
"GEN24_1002009","None of these"
"GEN24_1002010","None of these"
"GEN24_1002011","None of these"
"GEN24_1002013","None of these"
"GEN24_1002016","None of these"
"GEN24_1002017","None of these"
"GEN24_1002018","None of these"
"GEN24_1002020","None of these"
"GEN24_1002021","None of these"
"GEN24_1002022","None of these"
"GEN24_1002025","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002026","None of these"
"GEN24_1002027","None of these"
"GEN24_1002030","None of these"
"GEN24_1002031","None of these"
"GEN24_1002032","None of these"
"GEN24_1002035","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002037","None of these"
"GEN24_1002039","None of these"
"GEN24_1002042","None of these"
"GEN24_1002043","None of these"
"GEN24_1002046","None of these"
"GEN24_1002050","None of these"
"GEN24_1002052","None of these"
"GEN24_1002065","None of these"
"GEN24_1002072","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002077","None of these"
"GEN24_1002078","None of these"
"GEN24_1002079","None of these"
"GEN24_1002083","None of these"
"GEN24_1002088","None of these"
"GEN24_1002089","None of these"
"GEN24_1002092","None of these"
"GEN24_1002093","None of these"
"GEN24_1002094","None of these"
"GEN24_1002095","None of these"
"GEN24_1002096","None of these"
"GEN24_1002110","None of these"
"GEN24_1002111","None of these"
"GEN24_1002113","None of these"
"GEN24_1002114","None of these"
"GEN24_1002119","None of these"
"GEN24_1002121","None of these"
"GEN24_1002122","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002128","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002128","Some other Maori cultural activity"
"GEN24_1002128","Visit a Maori family in their home"
"GEN24_1002130","None of these"
"GEN24_1002138","None of these"
"GEN24_1002147","None of these"
"GEN24_1002149","None of these"
"GEN24_1002157","None of these"
"GEN24_1002158","Eat Maori traditional food"
"GEN24_1002158","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002158","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002160","None of these"
"GEN24_1002171","None of these"
"GEN24_1002172","None of these"
"GEN24_1002177","Some other Maori cultural activity"
"GEN24_1002180","None of these"
"GEN24_1002182","None of these"
"GEN24_1002191","None of these"
"GEN24_1002200","None of these"
"GEN24_1002201","None of these"
"GEN24_1002210","None of these"
"GEN24_1002211","None of these"
"GEN24_1002221","Eat Maori traditional food"
"GEN24_1002221","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002226","None of these"
"GEN24_1002229","None of these"
"GEN24_1002231","None of these"
"GEN24_1002242","None of these"
"GEN24_1002244","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002250","None of these"
"GEN24_1002251","Visit a Maori family in their home"
"GEN24_1002256","None of these"
"GEN24_1002258","None of these"
"GEN24_1002259","None of these"
"GEN24_1002279","None of these"
"GEN24_1002284","None of these"
"GEN24_1002291","None of these"
"GEN24_1002297","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002298","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002301","None of these"
"GEN24_1002304","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002306","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002307","None of these"
"GEN24_1002308","None of these"
"GEN24_1002310","None of these"
"GEN24_1002312","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002313","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002321","None of these"
"GEN24_1002331","See Maori art or crafts being created"
"GEN24_1002331","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002334","None of these"
"GEN24_1002338","None of these"
"GEN24_1002344","None of these"
"GEN24_1002345","None of these"
"GEN24_1002346","None of these"
"GEN24_1002351","None of these"
"GEN24_1002353","None of these"
"GEN24_1002354","None of these"
"GEN24_1002361","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002366","None of these"
"GEN24_1002367","None of these"
"GEN24_1002369","None of these"
"GEN24_1002370","None of these"
"GEN24_1002372","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002374","None of these"
"GEN24_1002375","None of these"
"GEN24_1002380","None of these"
"GEN24_1002381","None of these"
"GEN24_1002382","None of these"
"GEN24_1002383","None of these"
"GEN24_1002384","See Maori art or crafts being created"
"GEN24_1002384","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002384","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002396","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002399","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002400","None of these"
"GEN24_1002403","None of these"
"GEN24_1002413","None of these"
"GEN24_1002414","None of these"
"GEN24_1002416","Visit a Maori family in their home"
"GEN24_1002426","None of these"
"GEN24_1002428","None of these"
"GEN24_1002430","None of these"
"GEN24_1002435","Watch a live Maori performance"
"GEN24_1002436","None of these"
"GEN24_1002437","None of these"
"GEN24_1002438","None of these"
"GEN24_1002442","None of these"
"GEN24_1002443","None of these"
"GEN24_1002445","None of these"
"GEN24_1002446","None of these"
"GEN24_1002447","None of these"
"GEN24_1002450","See Maori art or crafts being created"
"GEN24_1002450","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002451","Visit a Maori family in their home"
"GEN24_1002452","None of these"
"GEN24_1002466","None of these"
