response_id,satisfaction_reason
Gen2_10145,dolphins
Gen2_10423,Extreme activities: SkyLine Rotorua. Half day spent there.
Gen2_10606,Geysers and hot mud pools
Gen2_10880,Bold innovative urban planning and architecture
Gen2_11122,Weather
Gen2_11387,Preiswerte Mietwagen
Gen2_11429,sailing
Gen2_11521,Mountain Biking Trails
Gen2_1574,Halal options for food
Gen2_1916,Public toilet accessibility
GEN24_1055593,Conditions de SURF et de vent pour pratiquer le Wingfoil dans les vagues Exceptionnel . Nous sommes venus specialement en Nouvelle zelande pour cela
GEN24_1055716,Sailing
GEN24_1055717,Swimming at various beaches around the Waitemata Harbour
GEN24_1055829,"Clean air, always felt safe"
GEN24_1055866,Fishing
GEN24_1055915,Wanaka warbirds air show
GEN24_1055925,Meeting the New Zealand Rover Scout  and being at the 81st New Zealand Rover Scout Moot
GEN24_1055986,Winyards
GEN24_1056063,Mount bike riding
GEN24_1056112,Lord of the Rings movie sites
GEN24_1056160,Surfing
GEN24_1056266,nice cool weather
GEN24_1056291,Luge at Skyline Rotorua
GEN24_1056473,Very clean and tidy in comparison to the UK!!
GEN24_1056533,Fishing
GEN24_1056620,Very educational for kids
GEN24_1056746,"Campervan Park Facilities, both Top 10 and Independent"
GEN24_1056795,Hunting lodge & service
GEN24_1056822,Cycling
GEN24_1056870,The activities
GEN24_1056944,I once lived in NZ and enjoyed seeing how much it had changed but also felt so at home upon my return. My daughter is currently living in Gisborne on a youth visa
GEN24_1056963,Safety & Security
GEN24_1057048,Skydive availability & Helicopter landing on Glasier
GEN24_1057053,Rotorua Luge
GEN24_1057088,Wings over Wanaka
GEN24_1057142,Your mums house
GEN24_1057216,"We were very impressed that there were toilets in every village/ town, even in picnic places etc (though some were an experience). Very impressed with free parking everywhere except cities"
GEN24_1057421,Cycling trails and road
GEN24_1057450,Milford Sound
GEN24_1057496,Kunst und Second-hand-Kultur
GEN24_1057607,Hobbiton
GEN24_1057637,Hobbiton
GEN24_1057752,The Wildlife / Birds
GEN24_1057843,Cycle lanes
GEN24_1057953,Staying in New Brighton
GEN24_1058016,The public toilets - plentiful and so clean and well cared for
GEN24_1058299,Visited Parliament and had the opportunity to watch a question and answer session. Very cool
GEN24_1058376,No tipping.
GEN24_1058597,ã‚·ãƒ§ãƒƒãƒ”ãƒ³ã‚°
GEN24_1058752,LESMILLSã®ã‚¤ãƒ³ã‚¹ãƒˆãƒ©ã‚¯ã‚¿ãƒ¼
GEN24_1058912,Cycling tour A2O
GEN24_1058995,Auckland Zoo
GEN24_1059174,"Activities including canyon swing, kayaking, quad biking etc"
GEN24_1059180,Seeing my grandchildren and visiting my son
GEN24_1059235,Natural reserve and serenity
GEN24_1059393,Quality of roads
GEN24_1059422,La sÃ©curitÃ©
GEN24_1059744,University Graduation
GEN24_1059785,Fishing
GEN24_1059831,Les toilettes
GEN24_1059879,Penguins
GEN24_1060039,LOTR sites
GEN24_1060170,Fishing
GEN24_1060677,Local shopping
GEN24_1060788,The birds! (Specifically came to the North Island twice for the Petrel Station tour)
GEN24_1060812,Pukekura Park
GEN24_1061001,Hunting
GEN24_1061067,We moved to NZ in 2021 with the intention of living there permanently.  We were so disgusted with the treatment of the people not taking the toxic vaccine that we decided to come back to the UK.  I am a Brit but my husband is a Kiwi.  He was appalled at the apartheid adopted by the people and their toxic Government.  Although this was a global issue if the Kiwis just looked at the overseas data they could have avoided a lot of the problems they had.  They are too indoctrinated to look at anything outside of NZ.  Disgusting behaviour in my view.  We only came back to NZ to collect the rest of our belongings.  The people are still blinkered.
GEN24_1061255,"Sky Tower, Skyline Gondola Rotorua, Skyline Luge"
GEN24_1061380,All the lovely cats in New Zealand and people lifestyle
GEN24_1061426,Cleanliness of City
GEN24_1061775,The fact that it has very unique biology background compared to rest of the world
GEN24_1061821,Duck Tour
GEN24_1061835,Animals!!!
GEN24_1061907,The available activities particularly in Queenstown
GEN24_1062045,Day trips to islands
GEN24_1062202,Less traffic and great driving roads
GEN24_1062451,The Hunting
GEN24_1062570,The ease and safety of movement and transportation
GEN24_1062734,Fishing
GEN24_1063487,disc golf course in queenstwon
GEN24_1063564,é‰„é“ã®æ—…
GEN24_1063867,I really enjoyed being in New Zealand
GEN24_1064015,"Scenic Flights, Glohworm Caves, MÃ¤rkte"
GEN24_1064312,Bungy
GEN24_1064666,ã‚´ãƒ«ãƒ•ç·´ç¿’å ´
GEN24_1064844,The Antarctic Centre
GEN24_1065085,å‹å¥½çš„playgroundï¼Œæˆ‘å®¶æœ‰2å¨ƒï¼Œä»–ä»¬å¾ˆå–œæ¬¢
GEN24_1065610,"School, friends, hostfamily"
GEN24_1065904,Hobbiton
GEN24_1065999,hunting
GEN24_1066188,The Business opportunities I found
GEN24_1066443,Shopping
GEN24_1066461,Playing pickleball
GEN24_1066805,Hobbiton
GEN24_1067074,Wildlife
GEN24_1067495,Hobbiton
GEN24_1067689,Hunting
GEN24_1067744,roads are excellent
GEN24_1067825,Fresh air and peacefulness
GEN24_1067910,Book shop
GEN24_1067925,"Zorbing, Luge, Skyway, Jetboating"
GEN24_1067948,Schwimmen mit Delfinen
GEN24_1068136,Winery
GEN24_1068340,Dog Show
GEN24_1068615,Milford Sound
GEN24_1068664,The fishing
GEN24_1069073,Blenheim Aviation Heritage Museum
GEN24_1069163,Absolutely nothing
GEN24_1069207,è‡ªé©¾æ²¿é€”çš„é£Žæ™¯ä¸Žä¸åŒäºŽè‡ªå·±å›½å®¶çš„ç”Ÿæ´»ä½“éªŒ
GEN24_1069394,driving is great in auckland and suburbs. everyone is chillaxed and NO road rage
GEN24_1069485,Les oiseaux
GEN24_1069781,The wildlife sanctuaries
GEN24_1069890,Wildlife
GEN24_1069994,Safety and cleanlyness
GEN24_1070354,The wildlife and learning about conservation efforts
GEN24_1070487,Lord of the Ring experiences
GEN24_1070489,Wildlife
GEN24_1070617,Spending time with family
GEN24_1070632,Fishing
GEN24_1070828,Fishing
GEN24_1070957,Wildlife tours
GEN24_1070970,The weather
GEN24_1071024,Fly Fishing
GEN24_1071288,Golf
GEN24_1071474,Public Facilities
GEN24_1071521,La mÃ©tÃ©o
GEN24_1071536,attentive and considerate fellow drivers
GEN24_1071538,Modern choices in food incl. vegan...
GEN24_1071637,Golf
GEN24_1071651,ã‚¢ã‚¯ãƒ†ã‚£ãƒ“ãƒ†ã‚£
GEN24_1071698,Omaka airshow
GEN24_1071849,Business
GEN24_1072171,Weta Workshop (or something like Theme park)
GEN24_1072355,Hobbiton
GEN24_1072439,Hobbitton
GEN24_1072441,Hobbiton
GEN24_1072670,coffee culture
GEN24_1072804,Lord of the rings
GEN24_1072894,"Waiheke day trip, Rangitoto day trip, Tea Puia, Hells Gate, Redwoods tree Climb"
GEN24_1072898,filming locations
GEN24_1072926,Adventure activities
GEN24_1072973,Endemic wildlife
GEN24_1073066,Car show
GEN24_1073068,Cycle trails
GEN24_1073133,Rail trail
GEN24_1073184,cycle hire and cycle trails
GEN24_1073625,Birds & other wildlife.
GEN24_1073629,Hobbiton
GEN24_1073929,Safety and security.
GEN24_1074224,Wildlife
GEN24_1074237,æ¥µé™é‹å‹•
GEN24_1074324,activities
GEN24_1074373,Freedom Camping
GEN24_1075135,The immaculately clean public bathrooms !
GEN24_1075145,"Luge, jetboatinh"
GEN24_1075272,Fishing
GEN24_1075408,é›»å½±æ‹æ”åœ°
GEN24_1075451,"Luge, mud pools, hot water beach, cathedral cove, rotorua, bungee, jet boat"
GEN24_1075610,Our AATKings tour experience which gave us such excellent access to the south islands beauty
GEN24_1075622,"Easy to get around but the piblic transport is limited., but drivers are very helpful and friendly."
GEN24_1075844,ã‚­ãƒ«ãƒˆã®ã‚¤ãƒ™ãƒ³ãƒˆ
GEN24_1075855,Skydiving
GEN24_1076164,Mountain Biking
GEN24_1076323,Tours
GEN24_1076601,Hobbiton
GEN24_1076630,World of Wearable Arts Show
GEN24_1076665,Adventure and entertainment activities
GEN24_1076767,Airsoft
GEN24_1076859,Birds and wildlife
GEN24_1076957,Skydiving
GEN24_1077162,The unique wildlife
GEN24_1077188,Zealandia
GEN24_1077222,Open Garden tour
GEN24_1077251,Winery
GEN24_1077264,Hobbiton movie set
GEN24_1077417,Adventure activities like whitewater rafting
GEN24_1077429,Alps-2-Ocean Cycle Trail
GEN24_1077600,mountain bike trail network
GEN24_1077941,ãƒ›ãƒ“ãƒƒãƒˆæ‘
GEN24_1078006,Shopping at various grocery stores and local clothing outlets
GEN24_1078110,Cycling on rail trails
GEN24_1078204,The native wildlife especially leaf veined slugs
GEN24_1078223,"Maori cultural Center Haka and other dancing and singing, and hangi; coffee!!; geothermal pools; stargazing!! WISH we'd seen aurora ..."
GEN24_1078267,Swimming
GEN24_1078509,"Wildlife tours, especially albatross centre"
GEN24_1078511,Musical theatre performed by local amateurs in Blenheim was a highlight
GEN24_1078519,"Skywalk in Auckland, Rundflug in Rotorua"
GEN24_1078520,SAUBERE Ã–ffentliche Toiletten
GEN24_1078824,Golf
GEN24_1078835,public toilet
GEN24_1079243,Parkrun
GEN24_1079254,Cleanliness and civilization.
GEN24_1079637,Nature reserves and protection of native species
GEN24_1079664,Walking on the beaches at Karitane
GEN24_1079742,Picked up an award for gin
GEN24_1079773,"Stargazing, the day cruise"
GEN24_1079793,shopping
GEN24_1079866,"Waterplane, Jet Boat, Helicopter and other activities"
GEN24_1080279,Wildlife conservation
GEN24_1080408,Hobbitson
GEN24_1080609,Family and friends
GEN24_1080610,The Queenstown Bike Trails
GEN24_1080693,Cycling!
GEN24_1080774,Parks and gardens. Art studios
GEN24_1080782,Hobbiton
GEN24_1080833,"Activities such as the Franz Josef Glacier Hike, Queenstown Horse Trek and Kaikoura quad biking"
GEN24_1081045,"Canopy Zipline, scenic Rafting,"
GEN24_1081081,The produce and dairy
GEN24_1081303,Nature and birds
GEN24_1081325,Experiencing different way of life and education
GEN24_1081379,Wildlife
GEN24_1081491,mehere freiwillge arbeiten mitmachen
GEN24_1081533,colleges
GEN24_1081596,Sky tower
GEN24_1081826,Hampton downs MMSB7
GEN24_1081888,Clean water and air
GEN24_1081891,golfing
GEN24_1081942,boat trips and glaicer trip
GEN24_1082224,Movie set tours
GEN24_1082335,ëŒê³ ëž˜ ìˆ˜ì˜
GEN24_1082462,coffee
GEN24_1082562,Safe
GEN24_1082715,Seeing friends and family
GEN24_1082808,Birds and Wildlife
GEN24_1083002,Ã¼berall saubere Toiletten
GEN24_1083108,Motorrad fahren
GEN24_1083182,cruising
GEN24_1083216,Nature and wildlife
GEN24_1083332,Seeing family who live in Australia
GEN24_1083358,Ironman 70.3
GEN24_1083545,Getting to know the people with us on our tour and having someone knowledgeable doing the driving
GEN24_1083686,"Sunshine/light quality, and the darkness at night."
GEN24_1084050,Respect for the environment and cleanliness
GEN24_1084122,Skydive
GEN24_1084140,Beaches
GEN24_1084148,Adult entertainment
GEN24_1084187,Den Strand und das Surfen
GEN24_1084600,Hobbiton
GEN24_1084602,Expedition cruise to Sub Antartic Islands
GEN24_1084822,Playgrounds and waterfront areas
GEN24_1085077,Local community event shows
GEN24_1085177,"??,????"
GEN24_1085307,The quietness compared to europe
GEN24_1085425,Freizeitaktivitäten
GEN24_1085437,Surfing
GEN24_1085480,The great DOC and Freedom campings!
GEN24_1085558,Availability of public toilets
GEN24_1085658,J'ai plutôt été déçu
GEN24_1085745,Vanlife
GEN24_1085828,Campervan
GEN24_1085846,Hobbiton
GEN24_1086008,Hobbiton
GEN24_1086028,Doing the 630' SkyJump tower.   It was free because Im over 75 years old.  Loved it all the way down!!!!
GEN24_1086214,Bird watching
GEN24_1086219,"plants: trees and flowers, birds"
GEN24_1086249,Skydiving & white river rafting
GEN24_1086270,The Lord of the Rings info and sights
GEN24_1086467,"The South Island where we were, camping , and city were very clean"
GEN24_1086871,The campgrounds (free and paid)
GEN24_1086876,Doubtful sound and Stewart Island
GEN24_1086932,Fishing
GEN24_1086965,Golfing at courses that are both scenic and not crowded
GEN24_1087040,the concert we attended
GEN24_1087061,Cycle trails
GEN24_1087070,Bungy jumping
GEN24_1087183,"Quiet, nice weather, nature"
GEN24_1087372,Vintage Aircraft Flying
GEN24_1087407,The cafes and the food.
GEN24_1087547,Cycling trails
GEN24_1087605,Boating in Bay of Islands
GEN24_1087681,Swimming and the amazing beaches
GEN24_1087735,Trip to Milford Sounds
GEN24_1087741,Doc camp grounds
GEN24_1087892,Scenic nature tour with a specialist New Zealander as our Guide
GEN24_1087983,nature
GEN24_1088041,All parking and toilets at tourist spots were of good standard and all free. You have to pay for these facilities in UK
GEN24_1088078,Visiting family
GEN24_1088288,Fishing
GEN24_1088461,Roads that are pure enjoyment to drive
GEN24_1088478,"Vogelschutz, Artenvielfalt der Vögel"
GEN24_1088602,"Helicopter to Tasman Glacier, zip line in Kaikoura, hiking in Abel Tasman, wine!"
GEN24_1088693,Summer weather
GEN24_1088705,Moutain biking
GEN24_1088779,Climate
GEN24_1088881,animals
GEN24_1089043,?????????????
GEN24_1089093,"A well run country by government, no unemployment, good service delivery, no street vendors, the public transport although I did not use it myself and safety."
GEN24_1089129,Alps to Ocean bike trail
GEN24_1089175,The history and how the Maori community and 'Colonial' history are being maintained side by side. The friendliness of all the New Zealand people was absolutely lovely. So helpful with one exception!
GEN24_1089258,??
GEN24_1089278,many free public toilets
GEN24_1089279,Wildlife
GEN24_1089280,"les oiseaux, la flore, les pistes de trail en vélo,"
GEN24_1089330,Diversity of options to visit/experience
GEN24_1089446,The weather
GEN24_1089471,The cleanliness
GEN24_1089702,Outdoor activities and healthy clean environment
GEN24_1089894,??
GEN24_1089916,Guided city walking tours
GEN24_1089929,Skytower
GEN24_1090007,"Scenic tours (helicopter, light plane and vintage car)"
GEN24_1090014,Well-integrated multiracial community
GEN24_1090208,The weather
GEN24_1090210,Helicopter onto Glaciers
GEN24_1090252,The weather
GEN24_1090287,"No tipping policy!, the good exchange with the Canadian dollar"
GEN24_1090303,Amazing scenery
GEN24_1090338,????
GEN24_1090447,Fly fishing
GEN24_1090460,??
GEN24_1090534,Birdwatching
GEN24_1090691,Surfen
GEN24_1090749,"Children’s playgrounds, tour and information in Napier, beautiful countryside and Cuba St Wellington"
GEN24_1090833,"??,??"
GEN24_1090979,??????
GEN24_1091006,We were in NZ to help family that had a serious car accident so we didn’t do any tourist things
GEN24_1091146,"2025 gay pride, big gay out"
GEN24_1091227,Botanical Gardens
GEN24_1091343,Weather
GEN24_1091444,Flyfishing
GEN24_1091571,Relaxed and slower paced lifestyle
GEN24_1091664,Lord of the Rings filming locations
GEN24_1091693,Shopping
GEN24_1091819,Wanaka wild wire
GEN24_1091831,Work
GEN24_1091978,white water rafting (Tongariro)
GEN24_1092015,Our daughter’s wedding
GEN24_1092033,Fishing
GEN24_1092275,Golf Vourses
GEN24_1092511,Golf courses
GEN24_1092573,swimming
GEN24_1092664,Fahrradfahren
GEN24_1092688,Hot beach experience
GEN24_1092812,Lovely clear seas
GEN24_1092829,Always clean and available public toilets
GEN24_1092891,The adventure sport options
GEN24_1092994,Wild life
GEN24_1093303,Wine tour on Waiheke
GEN24_1093359,Beach
GEN24_1093390,Pickleball and surfing
GEN24_1093510,Wildlife sanctuaries
GEN24_1093543,Wellington Dragon Boat Festival
GEN24_1093557,The excellent public toilet facilities
GEN24_1093614,"Movies Places (Hobbiton, Cathedral Cove, …)"
GEN24_1093718,Botanical gardens
GEN24_1093733,The movie centre i wènt to and the golf place i went to
GEN24_1093768,Wildlife - I came specifically for the penguins
GEN24_1093856,The amazing bird life!
GEN24_1094056,"Very clean, minimal litter in cities, well maintained roads, many well maintained and clean public toilets, great signposting"
GEN24_1094089,Activities/tours
GEN24_1094193,The weather
GEN24_1094226,Fly Fishing
GEN24_1094273,seeing
GEN24_1094436,Tour of Milford sounds
GEN24_1094460,Botanic Gardens Christchurch
GEN24_1094562,Kayak
GEN24_1094586,Island visits
GEN24_1094777,Propreté
GEN24_1094806,markets
GEN24_1094955,kostenlose und saubere öffentliche Toiletten
GEN24_1095006,Fishing
GEN24_1095055,"????????????????,??????????????????"
GEN24_1095251,Visit was to see friends and go to Beach Hop in Whangamata
GEN24_1095303,Fishing
GEN24_1095309,Helicopter trip over Franz Joseph Glacier
GEN24_1095332,Tramway dinner in Christchurch
GEN24_1095456,Jacks point golf course
GEN24_1095481,????????????????????
GEN24_1095593,kayaking
GEN24_1096009,"Experiences eg helicopter ride, glaciers, fiords, geothermal areas"
GEN24_1096237,shopping
GEN24_1096278,"Beautiful gardens, quirky outdoor art (carrots, gumboot, etc.), gorgeous mountain vistas, beautiful springs and water (Huka Falls for example)"
GEN24_1096309,The facilities for young kids
GEN24_1096365,Wedding
GEN24_1096369,"The cleanliness, well tended parks, amount of free parking and toilets were appreciated"
GEN24_1096387,The uncrowdedness of most places; the very well organised camp grounds.
GEN24_1096481,The cycling trails
GEN24_1096603,Kostenfreie und saubere Toiletten
